state_id,RATE,OPPORTUNITY,DENSITY,INDEX,NAME
NV,0.41,92.14,108.4,3.22,Nevada
OK,0.45,89.49,72.9,2.56,Oklahoma
WY,0.45,86.4,70.9,2.22,Wyoming
CA,0.42,82.5,89.6,1.93,California
TX,0.4,84.59,90.9,1.86,Texas
FL,0.38,83.31,98.7,1.66,Florida
MT,0.43,83.93,68.5,1.61,Montana
AZ,0.4,82.68,85.8,1.54,Arizona
CO,0.35,87.18,88.2,1.26,Colorado
NY,0.36,84.1,83.3,0.98,New York
NJ,0.34,88.03,76.1,0.84,New Jersey
ID,0.32,89.31,80.2,0.77,Idaho
AK,0.44,72.39,69.9,0.73,Georgia
GA,0.33,86.6,82.4,0.73,Alaska
ND,0.31,87.3,84.7,0.56,North Dakota
NC,0.34,83.88,74.7,0.41,North Carolina
UT,0.28,88.06,91,0.35,Utah
MO,0.3,83.2,95.5,0.33,Missouri
VT,0.4,78.27,58,0.32,Vermont
SD,0.31,89.68,62.6,0.14,South Dakota
MS,0.37,78.57,64.1,0.07,Mississippi
NM,0.35,79.93,65.2,-0.08,New Mexico
WA,0.27,87.39,81.5,-0.14,Washington
OR,0.34,76.07,77,-0.25,Oregon
HI,0.31,84.63,62.7,-0.33,Hawaii
MA,0.29,85.4,66.8,-0.44,Massachusetts
KS,0.3,82.46,64.8,-0.62,Kansas
NE,0.25,91.44,61.7,-0.64,Nebraska
AR,0.29,81.96,66.6,-0.77,Arkansas
SC,0.29,79.56,73.3,-0.8,South Carolina
TN,0.23,88.66,69.3,-0.98,Tennessee
MI,0.26,84.19,64.4,-1.08,Michigan
MN,0.28,78.65,64.2,-1.3,Minnesota
LA,0.27,79.73,64.8,-1.33,Louisiana
OH,0.23,88.22,57.4,-1.36,Ohio
CT,0.27,81.12,58.9,-1.37,Connecticut
KY,0.24,79.95,76.3,-1.44,Kentucky
DE,0.2,86.09,77,-1.46,Delaware
IA,0.2,92.53,54.7,-1.5,Maine
ME,0.29,75.22,62.8,-1.5,Iowa
IL,0.23,78.8,69.1,-1.91,Illinois
MD,0.26,73.11,68.6,-1.99,Maryland
WV,0.21,85.66,51.1,-2.09,West Virginia
IN,0.22,80.23,61.6,-2.14,Indiana
NH,0.24,77.4,58.3,-2.19,Virginia
VA,0.21,77.64,73.7,-2.19,New Hampshire
RI,0.21,80.42,60,-2.32,Rhode Island
PA,0.17,83,60.6,-2.68,Pennsylvania
AL,0.23,72.13,63.4,-2.69,Alabama
WI,0.21,66.39,59.1,-3.65,Wisconsin